LRMC,team_index,LRMC_rank,index,name,ngames
0.009148725081008672,206,1.0,206,Notre Dame,33
0.008793798229291052,302,2.0,302,UConn,33
0.008604507218564952,21,3.0,21,Baylor,32
0.008149756130547857,169,4.0,169,Mississippi St.,32
0.007863969087673598,216,5.0,216,Oregon,32
0.007527527315585567,155,6.0,155,Marquette,33
0.006965746975154383,148,7.0,148,Louisville,32
0.006571240522893178,276,8.0,276,Stanford,32
0.006332525248810957,124,9.0,124,Iowa St.,33
0.005644425575870736,217,10.0,217,Oregon St.,31
0.005599262542408459,123,11.0,123,Iowa,32
0.005259208075217964,171,12.0,171,Missouri,33
0.005223148782709481,133,13.0,133,Kentucky,31
0.005200048987897979,44,14.0,44,Central Mich.,32
0.005193823329576151,157,15.0,157,Maryland,32
0.0051497853701022245,261,16.0,261,South Carolina,30
0.005138467717962219,64,17.0,64,DePaul,33
0.005121282853993765,264,18.0,264,South Dakota St.,32
0.005108448290222668,279,19.0,279,Syracuse,32
0.005105060390286067,301,20.0,301,UCLA,32
0.0050926745061328415,285,21.0,285,Texas,32
0.005040717739535253,100,22.0,100,Gonzaga,32
0.005039150184020205,12,23.0,12,Arizona St.,30
0.004923205797778331,162,24.0,162,Miami (FL),32
0.004749296025800113,182,25.0,182,NC State,31
0.004700367995390443,286,26.0,286,Texas A&M,31
0.004642527216304008,263,27.0,263,South Dakota,31
0.004634840298744894,69,28.0,69,Drake,32
0.004632905568386886,334,29.0,334,West Virginia,30
0.004587586771529933,39,30.0,39,California,31
0.004541317126052139,164,31.0,164,Michigan,32
0.004487910166137261,14,32.0,14,Arkansas,34
0.004450773296287891,88,33.0,88,Florida St.,31
0.004444374657856998,238,34.0,238,Rutgers,31
0.004401929897016981,194,35.0,194,North Carolina,32
0.004385297892269685,319,36.0,319,Utah,30
0.004380663249968657,11,37.0,11,Arizona,31
0.004327802014447972,33,38.0,33,Buffalo,31
0.004324484187319153,282,39.0,282,Tennessee,31
0.00429949376427196,165,40.0,165,Michigan St.,31
0.00428564023242823,120,41.0,120,Indiana,32
0.004283096278770643,130,42.0,130,Kansas St.,32
0.004263710551837696,328,43.0,328,Virginia Tech,31
0.004258221646270004,229,44.0,229,Purdue,34
0.004233250505171798,103,45.0,103,Green Bay,30
0.004231022786332103,168,46.0,168,Minnesota,30
0.004200157164611767,265,47.0,265,South Fla.,33
0.004187401217589644,280,48.0,280,TCU,30
0.004164446105254612,300,49.0,300,UCF,32
0.004139223987369972,22,50.0,22,Belmont,32
0.004097382127464194,268,51.0,268,Southern California,30
0.004089543132232261,32,52.0,32,Bucknell,33
0.004073785218565901,17,53.0,17,Auburn,30
0.004068497518016804,208,54.0,208,Ohio,31
0.004053604386255341,34,55.0,34,Butler,30
0.004041303098730642,135,56.0,135,LSU,29
0.004034459196109121,231,57.0,231,Quinnipiac,32
0.004000708058289618,247,58.0,247,Saint Mary's (CA),31
0.003975893139257029,97,59.0,97,Georgia,30
0.003959502901116541,50,60.0,50,Clemson,31
0.003955824416048174,344,61.0,344,Wright St.,32
0.003948112789762528,204,62.0,204,Northwestern,30
0.00393871707685588,96,63.0,96,Georgetown,31
0.003937980205689661,185,64.0,185,Nebraska,30
0.00388828328198783,275,65.0,275,St. John's (NY),31
0.0038282801553477536,71,66.0,71,Duke,30
0.0038253660136145246,172,67.0,172,Missouri St.,32
0.0037825518524786123,234,68.0,234,Rice,31
0.0037592754367807586,49,69.0,49,Cincinnati,31
0.0037568997094695354,326,70.0,326,Villanova,30
0.003752759239282269,128,71.0,128,James Madison,30
0.0037272033125230106,99,72.0,99,Georgia Tech,30
0.0037184476177974405,296,73.0,296,UC Davis,30
0.00369006336663286,211,74.0,211,Oklahoma St.,30
0.0036745910654282553,166,75.0,166,Middle Tenn.,32
0.0036724730749073294,129,76.0,129,Kansas,31
0.003653548230374075,314,77.0,314,UT Arlington,30
0.0036270926883624818,188,78.0,188,New Mexico,30
0.003610572663524554,258,79.0,258,Seton Hall,30
0.00359916698331604,227,80.0,227,Princeton,31
0.003587906087537833,289,81.0,289,Texas Tech,31
0.0035784586853868676,19,82.0,19,BYU,30
0.0035731903504583372,228,83.0,228,Providence,32
0.00355942300205782,60,84.0,60,Creighton,31
0.0035335568826558887,342,85.0,342,Wisconsin,33
0.0035312594323023906,4,86.0,4,Alabama,31
0.003528425718609761,332,87.0,332,Washington St.,30
0.0035248030930131475,89,88.0,89,Fordham,33
0.0035202820885536002,163,89.0,163,Miami (OH),30
0.003509051179532067,322,90.0,322,VCU,32
0.0034857429592563887,331,91.0,331,Washington,32
0.003464063337974296,219,92.0,219,Penn,28
0.0034272703583915426,152,93.0,152,Maine,32
0.0034211540070189146,63,94.0,63,Dayton,30
0.0034203557907944086,70,95.0,70,Drexel,32
0.0033905145588784846,81,96.0,81,FGCU,28
0.003385104988246829,114,97.0,114,IUPUI,30
0.0033829317607205808,25,98.0,25,Boise St.,30
0.003367670044271405,348,99.0,348,Youngstown St.,29
0.0033323645191168046,55,100.0,55,Colorado,30
0.0033228724196561585,111,101.0,111,Houston,30
0.0033220398199157617,345,102.0,345,Wyoming,28
0.0033107189138557513,290,103.0,290,Toledo,31
0.0033012790347263805,209,104.0,209,Ohio St.,28
0.0032702294890945053,106,105.0,106,Harvard,28
0.0032655574365505788,132,106.0,132,Kent St.,30
0.0032599769151134103,105,107.0,105,Hartford,33
0.0032517661692037974,221,108.0,221,Pepperdine,30
0.0032500745453675132,327,109.0,327,Virginia,31
0.003242022152800957,220,110.0,220,Penn St.,30
0.0032274814100447303,210,111.0,210,Oklahoma,30
0.0032174114151156626,151,112.0,151,Loyola Marymount,32
0.0032040076190605745,9,113.0,9,American,32
0.0031969971311128823,115,114.0,115,Idaho,31
0.0031850442917127682,143,115.0,143,Little Rock,31
0.0031744086799905457,281,116.0,281,Temple,30
0.0031609717095723534,202,117.0,202,Northern Ill.,32
0.0031565109898963875,26,118.0,26,Boston College,30
0.0031518584378472194,224,119.0,224,Portland St.,31
0.003138254428026416,295,120.0,295,UAB,29
0.0031312279330270405,218,121.0,218,Pacific,30
0.0031215518856154956,72,122.0,72,Duquesne,32
0.003116900490907568,90,123.0,90,Fresno St.,29
0.0030872521419762298,337,124.0,337,Western Ky.,30
0.003045430299124405,293,125.0,293,Tulane,30
0.003033106404211602,154,126.0,154,Marist,33
0.003029849420264528,167,127.0,167,Milwaukee,30
0.0030072750282094047,292,128.0,292,Troy,29
0.002989637785553109,212,129.0,212,Old Dominion,31
0.0029865602847578346,117,130.0,117,Illinois,30
0.002982217115368665,311,131.0,311,UNI,31
0.0029741453574126946,199,132.0,199,Northeastern,31
0.002934323306104209,215,133.0,215,Oral Roberts,29
0.0029187136878485844,67,134.0,67,Denver,30
0.002917135790041478,201,135.0,201,Northern Colo.,31
0.0029143245390082072,161,136.0,161,Mercer,32
0.0029108517508386676,232,137.0,232,Radford,31
0.0028883092284216257,324,138.0,324,Vanderbilt,29
0.0028825709774256522,222,139.0,222,Pittsburgh,31
0.0028777241359286714,36,140.0,36,CSUN,30
0.0028734061724964397,291,141.0,291,Towson,32
0.002869715995441912,315,142.0,315,UT Martin,30
0.0028167553650533203,320,143.0,320,Utah St.,30
0.0028158910496469316,116,144.0,116,Idaho St.,28
0.002814798450744547,246,145.0,246,Saint Louis,31
0.0028035549069634295,260,146.0,260,South Alabama,32
0.002793588157900494,176,147.0,176,Morehead St.,31
0.0027914043989414536,140,148.0,140,Lehigh,30
0.0027885636930895627,10,149.0,10,Appalachian St.,32
0.002764325804425491,213,150.0,213,Ole Miss,31
0.002764138469566787,294,151.0,294,Tulsa,31
0.0027637421774337487,269,152.0,269,Southern Ill.,30
0.0027295205723624886,312,153.0,312,UNLV,30
0.0027244816871835336,347,154.0,347,Yale,29
0.00272372430959645,77,155.0,77,Eastern Mich.,30
0.0027215840875911513,118,156.0,118,Illinois St.,30
0.002709259905784733,298,157.0,298,UC Riverside,31
0.00270781440426655,86,158.0,86,Florida,31
0.0027024864309390974,107,159.0,107,Hawaii,30
0.002681430107022853,3,160.0,3,Akron,29
0.0026727585975213266,330,161.0,330,Wake Forest,30
0.0026713948090081514,252,162.0,252,San Diego St.,31
0.00266027406155115,139,163.0,139,Lamar University,26
0.002648583318415829,62,164.0,62,Davidson,30
0.002641718259244468,239,165.0,239,SFA,27
0.002616770228398063,198,166.0,198,North Texas,27
0.002615902739217454,241,167.0,241,SMU,30
0.0026032719048012898,46,168.0,46,Charlotte,29
0.0025865083057312194,237,169.0,237,Robert Morris,31
0.002583000968927823,158,170.0,158,Massachusetts,32
0.0025825141779483927,65,171.0,65,Delaware,31
0.0025783903911904232,255,172.0,255,Santa Clara,30
0.0025752599127620707,147,173.0,147,Louisiana Tech,29
0.0025745573912382825,74,174.0,74,East Carolina,31
0.002547853518213816,284,175.0,284,Tennessee Tech,29
0.002543681269316405,278,176.0,278,Stony Brook,30
0.0025429975723617946,297,177.0,297,UC Irvine,30
0.0025408012409256957,186,178.0,186,Nevada,30
0.0025331067364375718,346,179.0,346,Xavier,29
0.002495207190236384,189,180.0,189,New Mexico St.,28
0.0024823410152869955,253,181.0,253,San Francisco,31
0.002468205535742628,223,182.0,223,Portland,28
0.002465324309971995,94,183.0,94,George Mason,30
0.002435886913818988,98,184.0,98,Georgia St.,30
0.0024325083360969284,29,185.0,29,Bradley,29
0.002426443313126302,47,186.0,47,Chattanooga,30
0.0024147243799108246,20,187.0,20,Ball St.,30
0.002408745351360587,340,188.0,340,William & Mary,31
0.00240134205612656,245,189.0,245,Saint Joseph's,31
0.0023885664056483742,110,190.0,110,Holy Cross,31
0.0023870074315607884,175,191.0,175,Montana St.,30
0.002372995683631947,310,192.0,310,UNCW,28
0.0023709060072731906,108,193.0,108,High Point,28
0.0023696850940161827,160,194.0,160,Memphis,31
0.0023684029029744516,270,195.0,270,Southern Miss.,28
0.0023659888106759694,1,196.0,1,Abilene Christian,28
0.002364055573682862,236,197.0,236,Rider,31
0.002361472328373374,308,198.0,308,UNC Asheville,30
0.002347251697813433,27,199.0,27,Boston U.,29
0.0023420466246089986,61,200.0,61,Dartmouth,27
0.002335494231827237,78,201.0,78,Eastern Wash.,32
0.0023268794203437954,15,202.0,15,Arkansas St.,30
0.0023123847347113666,141,203.0,141,Liberty,29
0.002308935721980473,127,204.0,127,Jacksonville St.,29
0.002306033291754632,52,205.0,52,Coastal Caro.,29
0.0023009867881105747,243,206.0,243,Sacred Heart,31
0.0022973747325911184,73,207.0,73,ETSU,31
0.0022846757626516258,28,208.0,28,Bowling Green,29
0.002282256045183146,338,209.0,338,Western Mich.,29
0.002276735417422324,306,210.0,306,UMKC,27
0.0022761169109989563,195,211.0,195,North Dakota,30
0.002275753635167129,51,212.0,51,Cleveland St.,28
0.0022738694819119274,339,213.0,339,Wichita St.,30
0.0022624395589661045,91,214.0,91,Furman,30
0.002251647839002602,149,215.0,149,Loyola Chicago,31
0.002244835081160992,288,216.0,288,Texas St.,29
0.0022202541268641915,203,217.0,203,Northern Ky.,28
0.002218715835907651,95,218.0,95,George Washington,30
0.002210628570314364,57,219.0,57,Columbia,27
0.002207869653228148,156,220.0,156,Marshall,29
0.0022064748917984293,59,221.0,59,Cornell,26
0.002204136858307005,336,222.0,336,Western Ill.,28
0.0021899093853963887,101,223.0,101,Grambling,32
0.0021877212453317763,121,224.0,121,Indiana St.,29
0.0021765323510076788,200,225.0,200,Northern Ariz.,30
0.002167377428687492,174,226.0,174,Montana,29
0.0021666228754216492,2,227.0,2,Air Force,29
0.002156304470281493,104,228.0,104,Hampton,29
0.0021505161785490643,109,229.0,109,Hofstra,32
0.0021463794799562305,180,230.0,180,N.C. A&T,29
0.002143702411496858,40,231.0,40,Campbell,31
0.0021371673408186885,323,232.0,323,Valparaiso,32
0.002117278621838366,272,233.0,272,Southern Utah,31
0.00210924640220648,18,234.0,18,Austin Peay,28
0.0021069847453553414,305,235.0,305,UMES,29
0.0020940502263215037,113,236.0,113,Howard,31
0.0020821681197239665,244,237.0,244,Saint Francis (PA),32
0.0020785520273732196,144,238.0,144,Long Beach St.,30
0.002077544003128926,274,239.0,274,St. Francis Brooklyn,30
0.0020751899472993387,251,240.0,251,San Diego,29
0.0020730285732470646,153,241.0,153,Manhattan,31
0.0020667380813080365,54,242.0,54,Colgate,29
0.0020618884972760303,249,243.0,249,Sam Houston St.,26
0.0020477951124060773,233,244.0,233,Rhode Island,29
0.002046923930561883,317,245.0,317,UTRGV,28
0.002036650803941144,225,246.0,225,Prairie View,28
0.0020359178041662387,56,247.0,56,Colorado St.,28
0.0020345669913772154,273,248.0,273,St. Bonaventure,30
0.002034064436796772,7,249.0,7,Albany (NY),31
0.002033879103050862,146,250.0,146,Louisiana,29
0.0020281359090608543,240,251.0,240,SIUE,28
0.0020258511618338757,150,252.0,150,Loyola Maryland,31
0.0020202686628981083,343,253.0,343,Wofford,28
0.0020118691692271556,38,254.0,38,Cal St. Fullerton,28
0.002011376172539189,266,255.0,266,Southeast Mo. St.,27
0.0020097240026351027,277,256.0,277,Stetson,27
0.0020084385984751882,316,257.0,316,UTEP,31
0.0019991784440751875,125,258.0,125,Jackson St.,30
0.00199882112656885,192,259.0,192,Nicholls St.,29
0.001994426356658808,193,260.0,193,Norfolk St.,30
0.0019934785647402354,79,261.0,79,Elon,29
0.0019922128154024523,184,262.0,184,Navy,28
0.0019921530946341364,173,263.0,173,Monmouth,31
0.0019882387135991345,83,264.0,83,Fairfield,31
0.001980748322321789,16,265.0,16,Army West Point,29
0.0019773818510991025,254,266.0,254,San Jose St.,29
0.0019712540138029865,179,267.0,179,Murray St.,28
0.0019578713736453876,35,268.0,35,CSU Bakersfield,27
0.001957348585575839,23,269.0,23,Bethune-Cookman,29
0.0019450506887108818,136,270.0,136,La Salle,31
0.0019437298191049494,178,271.0,178,Mount St. Mary's,30
0.0019406455509294236,131,272.0,131,Kennesaw St.,28
0.0019376845968710479,299,273.0,299,UC Santa Barbara,29
0.0018841695565402173,191,274.0,191,Niagara,31
0.0018823030098691672,45,275.0,45,Charleston So.,29
0.0018718628678278347,93,276.0,93,Gardner-Webb,28
0.0018718373427871714,31,277.0,31,Bryant,30
0.0018604475551785324,271,278.0,271,Southern U.,28
0.0018600925921810063,126,279.0,126,Jacksonville,25
0.001855381694238644,235,280.0,235,Richmond,30
0.0018542340665715523,333,281.0,333,Weber St.,30
0.0018540578309116464,5,282.0,5,Alabama A&M,30
0.0018382435299032593,138,283.0,138,Lafayette,31
0.0018317570130785125,41,284.0,41,Canisius,30
0.0018186111712431138,0,285.0,0,A&M-Corpus Christi,28
0.001802916816673203,226,286.0,226,Presbyterian,31
0.0017897355800408302,24,287.0,24,Binghamton,28
0.0017842452937655042,262,288.0,262,South Carolina St.,30
0.0017808288653764382,287,289.0,287,Texas Southern,28
0.0017779590853137075,214,290.0,214,Omaha,27
0.0017693139697771377,250,291.0,250,Samford,28
0.0017672967507663198,259,292.0,259,Siena,30
0.0017466281486721723,30,293.0,30,Brown,28
0.0017459779525616694,309,294.0,309,UNC Greensboro,26
0.00174259529122499,257,295.0,257,Seattle U,28
0.001738316099321569,283,296.0,283,Tennessee St.,30
0.001737957671250176,37,297.0,37,Cal Poly,26
0.0017378354799259899,207,298.0,207,Oakland,28
0.0017310295407055678,196,299.0,196,North Dakota St.,28
0.001725515477402401,75,300.0,75,Eastern Ill.,26
0.0017069524892914406,242,301.0,242,Sacramento St.,28
0.0016768216051920117,42,302.0,42,Central Ark.,26
0.0016568313174085097,53,303.0,53,Col. of Charleston,29
0.0016395912110245255,321,304.0,321,Utah Valley,25
0.0016355548862248658,92,305.0,92,Ga. Southern,28
0.0016340390672127283,230,306.0,230,Purdue Fort Wayne,26
0.001630045845248533,68,307.0,68,Detroit Mercy,28
0.0016239221477668086,43,308.0,43,Central Conn. St.,28
0.0016188933743098387,177,309.0,177,Morgan St.,29
0.0016142772780099318,197,310.0,197,North Florida,24
0.0016091431545555961,137,311.0,137,La.-Monroe,27
0.0016013152455271894,85,312.0,85,Fla. Atlantic,30
0.0015595196546244036,341,313.0,341,Winthrop,29
0.0015505267757624105,318,314.0,318,UTSA,26
0.0015441524453301072,325,315.0,325,Vermont,28
0.0015399247258502183,80,316.0,80,Evansville,30
0.0015363197897893008,58,317.0,58,Coppin St.,30
0.0015160509913065196,122,318.0,122,Iona,31
0.001505946426884839,329,319.0,329,Wagner,29
0.0014984190797888818,303,320.0,303,UIC,29
0.0014899008858653942,82,321.0,82,FIU,28
0.0014879792880079248,187,322.0,187,New Hampshire,29
0.0014863083766880614,6,323.0,6,Alabama St.,28
0.001470321788550255,145,324.0,145,Longwood,30
0.0014648099405137384,181,325.0,181,N.C. Central,30
0.001461589439636892,307,326.0,307,UMass Lowell,28
0.0014549828203806853,248,327.0,248,Saint Peter's,30
0.0014387853030710667,183,328.0,183,NJIT,28
0.0014377558627884691,313,329.0,313,USC Upstate,27
0.001436572082605109,170,330.0,170,Mississippi Val.,29
0.0014150944052320564,304,331.0,304,UMBC,27
0.0013841578981947128,119,332.0,119,Incarnate Word,29
0.0013770928594300871,267,333.0,267,Southeastern La.,27
0.0013633080344918598,76,334.0,76,Eastern Ky.,27
0.001359486694873374,102,335.0,102,Grand Canyon,25
0.0013478792218740976,142,336.0,142,Lipscomb,27
0.0013386331377902804,84,337.0,84,Fairleigh Dickinson,28
0.001332936550337124,205,338.0,205,Northwestern St.,25
0.001316394747751542,112,339.0,112,Houston Baptist,24
0.0012918333411853207,190,340.0,190,New Orleans,25
0.0012720473574066448,66,341.0,66,Delaware St.,26
0.001263920258275587,87,342.0,87,Florida A&M,28
0.0012509539797769152,134,343.0,134,LIU Brooklyn,29
0.0012258399443378846,335,344.0,335,Western Caro.,27
0.001193682389614185,8,345.0,8,Alcorn,27
0.0011506686504638933,159,346.0,159,McNeese,26
0.000979219685146364,256,347.0,256,Savannah St.,24
0.0009424342899396026,48,348.0,48,Chicago St.,28
0.0007940337826369505,13,349.0,13,Ark.-Pine Bluff,21
