LRMC,team_index,LRMC_rank,index,name,ngames
0.009070247886412747,206,1.0,206,Notre Dame,33
0.008860525955664462,21,2.0,21,Baylor,32
0.008654231482373573,302,3.0,302,UConn,33
0.008055242125344267,169,4.0,169,Mississippi St.,32
0.007543033960584346,216,5.0,216,Oregon,32
0.006971565912839515,148,6.0,148,Louisville,32
0.00688415533336028,155,7.0,155,Marquette,33
0.00659328547797732,276,8.0,276,Stanford,32
0.006495389926373003,124,9.0,124,Iowa St.,33
0.005742348096410183,123,10.0,123,Iowa,32
0.005667310992845401,217,11.0,217,Oregon St.,31
0.005378074799436663,44,12.0,44,Central Mich.,32
0.005320722799441418,12,13.0,12,Arizona St.,30
0.005243773881434037,157,14.0,157,Maryland,32
0.005206149307335067,301,15.0,301,UCLA,32
0.0051953512049521,182,16.0,182,NC State,31
0.005175278498668075,279,17.0,279,Syracuse,32
0.005118324271111954,64,18.0,64,DePaul,33
0.005091993093392204,100,19.0,100,Gonzaga,32
0.005073799997554033,162,20.0,162,Miami (FL),32
0.005073075550408903,133,21.0,133,Kentucky,31
0.00506379139605732,171,22.0,171,Missouri,33
0.004939817710631859,39,23.0,39,California,31
0.004903253004753525,261,24.0,261,South Carolina,30
0.004871701478518649,285,25.0,285,Texas,32
0.004769012367380533,264,26.0,264,South Dakota St.,32
0.004661033003420222,88,27.0,88,Florida St.,31
0.004619406450172374,14,28.0,14,Arkansas,34
0.0046044793270537555,164,29.0,164,Michigan,32
0.0045893635744545,194,30.0,194,North Carolina,32
0.004564595951719902,334,31.0,334,West Virginia,30
0.004528203608364025,286,32.0,286,Texas A&M,31
0.004496614279817926,11,33.0,11,Arizona,31
0.004464884265716154,130,34.0,130,Kansas St.,32
0.004434677446332051,328,35.0,328,Virginia Tech,31
0.004426904839226071,120,36.0,120,Indiana,32
0.00441504169922565,22,37.0,22,Belmont,32
0.004410256046547519,280,38.0,280,TCU,30
0.004400579814498293,263,39.0,263,South Dakota,31
0.00439978063471695,69,40.0,69,Drake,32
0.004382094032947733,319,41.0,319,Utah,30
0.0043803037841669,238,42.0,238,Rutgers,31
0.004357793097263648,282,43.0,282,Tennessee,31
0.004280979454839099,17,44.0,17,Auburn,30
0.004260296110263209,268,45.0,268,Southern California,30
0.004245017383045042,229,46.0,229,Purdue,34
0.0042223592998510235,165,47.0,165,Michigan St.,31
0.004169885581634739,185,48.0,185,Nebraska,30
0.004166020814573268,265,49.0,265,South Fla.,33
0.004116430105973656,168,50.0,168,Minnesota,30
0.00410567617344894,33,51.0,33,Buffalo,31
0.004095550210544573,234,52.0,234,Rice,31
0.0040899827313620515,231,53.0,231,Quinnipiac,32
0.004062525356514581,172,54.0,172,Missouri St.,32
0.004027931167461396,247,55.0,247,Saint Mary's (CA),31
0.004006576282694337,71,56.0,71,Duke,30
0.003981654977221391,300,57.0,300,UCF,32
0.003976509205732685,135,58.0,135,LSU,29
0.003973295773344054,103,59.0,103,Green Bay,30
0.003960512483010809,50,60.0,50,Clemson,31
0.003951923332635722,204,61.0,204,Northwestern,30
0.0039328610336519555,99,62.0,99,Georgia Tech,30
0.003928442489378925,32,63.0,32,Bucknell,33
0.0038828978438563123,258,64.0,258,Seton Hall,30
0.003865001903142611,97,65.0,97,Georgia,30
0.0038314936505049265,128,66.0,128,James Madison,30
0.00381388327389123,188,67.0,188,New Mexico,30
0.0037912938833004734,96,68.0,96,Georgetown,31
0.00378538161978065,326,69.0,326,Villanova,30
0.003775231850909424,34,70.0,34,Butler,30
0.003744315582764631,81,71.0,81,FGCU,28
0.0037349784044286094,344,72.0,344,Wright St.,32
0.0037265983061467306,208,73.0,208,Ohio,31
0.0037143929191792344,166,74.0,166,Middle Tenn.,32
0.003711707940938136,275,75.0,275,St. John's (NY),31
0.00367425760453551,227,76.0,227,Princeton,31
0.0036555393820902906,49,77.0,49,Cincinnati,31
0.0036479681271278947,25,78.0,25,Boise St.,30
0.0036181183750005983,211,79.0,211,Oklahoma St.,30
0.003613323837244405,296,80.0,296,UC Davis,30
0.003587246291677445,4,81.0,4,Alabama,31
0.003581714843289716,129,82.0,129,Kansas,31
0.003577990275723518,332,83.0,332,Washington St.,30
0.0035467620039055605,295,84.0,295,UAB,29
0.003483291505408406,63,85.0,63,Dayton,30
0.003466495985830376,289,86.0,289,Texas Tech,31
0.003463594773646235,19,87.0,19,BYU,30
0.003462765680817761,327,88.0,327,Virginia,31
0.003443974023499328,219,89.0,219,Penn,28
0.0034425542377866064,331,90.0,331,Washington,32
0.00343979844873197,348,91.0,348,Youngstown St.,29
0.0034333076760873016,55,92.0,55,Colorado,30
0.0034178799205385577,322,93.0,322,VCU,32
0.003417714915177908,89,94.0,89,Fordham,33
0.003405525480717043,290,95.0,290,Toledo,31
0.0033986507923246456,345,96.0,345,Wyoming,28
0.003395570327417283,152,97.0,152,Maine,32
0.0033898124476139215,342,98.0,342,Wisconsin,33
0.0033860690884978755,114,99.0,114,IUPUI,30
0.0033687590558308827,60,100.0,60,Creighton,31
0.003366161095800459,314,101.0,314,UT Arlington,30
0.0033620168690016916,106,102.0,106,Harvard,28
0.003344357311072518,115,103.0,115,Idaho,31
0.003327295037005887,70,104.0,70,Drexel,32
0.0033179389039113432,111,105.0,111,Houston,30
0.0033053282280958115,26,106.0,26,Boston College,30
0.0032933789996098307,202,107.0,202,Northern Ill.,32
0.003292793765348555,224,108.0,224,Portland St.,31
0.0032666635176851148,220,109.0,220,Penn St.,30
0.003262297530168106,210,110.0,210,Oklahoma,30
0.003248939046254367,228,111.0,228,Providence,32
0.0032475377943596896,105,112.0,105,Hartford,33
0.0032420289316525456,209,113.0,209,Ohio St.,28
0.003241260187056927,143,114.0,143,Little Rock,31
0.003240991759243918,163,115.0,163,Miami (OH),30
0.003236786794391533,311,116.0,311,UNI,31
0.0032192830434820624,90,117.0,90,Fresno St.,29
0.003158646199871849,281,118.0,281,Temple,30
0.0031522488625167844,72,119.0,72,Duquesne,32
0.0031476412234372145,132,120.0,132,Kent St.,30
0.0031469357215043337,9,121.0,9,American,32
0.0030948131778722582,212,122.0,212,Old Dominion,31
0.0030836982668369637,232,123.0,232,Radford,31
0.0030798548074967465,117,124.0,117,Illinois,30
0.0030648718186345,218,125.0,218,Pacific,30
0.0030626479926061444,151,126.0,151,Loyola Marymount,32
0.0030565386605080212,292,127.0,292,Troy,29
0.0030348317905496028,161,128.0,161,Mercer,32
0.0030260128473664567,77,129.0,77,Eastern Mich.,30
0.0030231231381788147,337,130.0,337,Western Ky.,30
0.0029894839274910512,315,131.0,315,UT Martin,30
0.002984732345566398,320,132.0,320,Utah St.,30
0.002953795331352129,221,133.0,221,Pepperdine,30
0.0029537327662852546,201,134.0,201,Northern Colo.,31
0.0029264515282077025,167,135.0,167,Milwaukee,30
0.0029145254460612078,269,136.0,269,Southern Ill.,30
0.0028975545882703904,154,137.0,154,Marist,33
0.002876622775515394,67,138.0,67,Denver,30
0.0028665489610604673,36,139.0,36,CSUN,30
0.0028660050637487637,199,140.0,199,Northeastern,31
0.002836894080373206,324,141.0,324,Vanderbilt,29
0.002836696990387008,246,142.0,246,Saint Louis,31
0.0028126303428596105,260,143.0,260,South Alabama,32
0.0027749809146335913,176,144.0,176,Morehead St.,31
0.0027702343550864194,140,145.0,140,Lehigh,30
0.0027634024340737954,86,146.0,86,Florida,31
0.0027624304000484863,330,147.0,330,Wake Forest,30
0.0027568196728473297,293,148.0,293,Tulane,30
0.0027454015199076865,186,149.0,186,Nevada,30
0.0027448389729567797,278,150.0,278,Stony Brook,30
0.002742403392796273,62,151.0,62,Davidson,30
0.002738001036862715,116,152.0,116,Idaho St.,28
0.0027247426074173244,139,153.0,139,Lamar University,26
0.002719180177214451,3,154.0,3,Akron,29
0.002710058852114678,213,155.0,213,Ole Miss,31
0.0027099804885272294,222,156.0,222,Pittsburgh,31
0.002708517053617739,291,157.0,291,Towson,32
0.0026990488644291414,252,158.0,252,San Diego St.,31
0.0026765192742549803,284,159.0,284,Tennessee Tech,29
0.00267489183305624,347,160.0,347,Yale,29
0.002668300129772827,107,161.0,107,Hawaii,30
0.002659122137540025,215,162.0,215,Oral Roberts,29
0.0026511447501068085,239,163.0,239,SFA,27
0.002639567210804679,298,164.0,298,UC Riverside,31
0.0026206125755248895,294,165.0,294,Tulsa,31
0.002610203092034515,118,166.0,118,Illinois St.,30
0.0026058290973707808,312,167.0,312,UNLV,30
0.002597153936345846,241,168.0,241,SMU,30
0.0025944696635617263,198,169.0,198,North Texas,27
0.002591838003992809,175,170.0,175,Montana St.,30
0.0025903344610685485,10,171.0,10,Appalachian St.,32
0.0025841476131307083,74,172.0,74,East Carolina,31
0.0025607171348423,245,173.0,245,Saint Joseph's,31
0.0025555024177239764,340,174.0,340,William & Mary,31
0.0025405975868302037,98,175.0,98,Georgia St.,30
0.0025317849313520853,65,176.0,65,Delaware,31
0.0025193595562527,346,177.0,346,Xavier,29
0.0025088440555748924,158,178.0,158,Massachusetts,32
0.002504119436343209,147,179.0,147,Louisiana Tech,29
0.0024897144127503474,1,180.0,1,Abilene Christian,28
0.002480081339535702,255,181.0,255,Santa Clara,30
0.0024710242887425017,29,182.0,29,Bradley,29
0.0024685223682919706,237,183.0,237,Robert Morris,31
0.0024424231674050334,46,184.0,46,Charlotte,29
0.0024406801456925264,253,185.0,253,San Francisco,31
0.0024212083614715556,94,186.0,94,George Mason,30
